,Unnamed: 0,Product Name,OfferPrice,OrignalPrice,Discount,Ratings,Brand,Color,RamSize,Storage,Expandable Storage,Screen Size,Display,RearCamera,FrontCamera,battery,Processor
0,0,REDMI 9i ,7999,9999,20,4.3,REDMI,Midnight Black,4,64,512,16.59,1,13,5,5000,MediaTek Helio G25 Processor
1,1,REDMI 9i ,7999,9999,20,4.3,REDMI,Sea Blue,4,64,512,16.59,1,13,5,5000,MediaTek Helio G25 Processor
2,2,POCO M3 ,10999,12999,15,4.3,POCO,Cool Blue,6,64,512,16.59,0,48,8,6000,Qualcomm Snapdragon 662 Processor
3,3,REDMI 9i ,7999,9999,20,4.3,REDMI,Nature Green,4,64,512,16.59,1,13,5,5000,MediaTek Helio G25 Processor
4,4,realme C20 ,6799,7999,15,4.5,realme,Cool Blue,2,32,256,16.51,1,8,5,5000,MediaTek Helio G35 Processor
5,5,realme C20 ,6799,7999,15,4.5,realme,Cool Grey,2,32,256,16.51,1,8,5,5000,MediaTek Helio G35 Processor
6,6,POCO M3 ,11999,14999,20,4.3,POCO,Power Black,6,128,512,16.59,0,48,8,6000,Qualcomm Snapdragon 662 Processor
7,7,POCO M3 ,10999,12999,15,4.3,POCO,Yellow,6,64,512,16.59,0,48,8,6000,Qualcomm Snapdragon 662 Processor
8,8,realme C12 ,7999,10999,27,4.4,realme,Power Silver,3,32,256,16.56,1,13,5,6000,Mediatek Helio G35 Processor
9,9,realme C12 ,7999,10999,27,4.4,realme,Power Blue,3,32,256,16.56,1,13,5,6000,Mediatek Helio G35 Processor
10,10,POCO C3 ,7499,9999,25,4.3,POCO,Arctic Blue,3,32,512,16.59,1,13,5,5000,Mediatek Helio G35 Processor
11,11,POCO M3 ,10999,12999,15,4.3,POCO,Power Black,6,64,512,16.59,0,48,8,6000,Qualcomm Snapdragon 662 Processor
12,12,POCO M2 Reloaded ,9499,11999,20,4.5,POCO,Mostly Blue,4,64,512,16.59,0,13,8,5000,MediaTek Helio G80 Processor
13,13,OPPO A12 ,9990,11990,16,4.4,OPPO,Blue,4,64,256,15.8,1,13,5,4230,MediaTek Helio P35 Processor
14,14,realme Narzo 20 ,10499,12999,19,4.3,realme,Glory Silver,4,64,256,16.56,1,48,8,6000,MediaTek Helio G85 Processor
15,15,OPPO A12 ,7990,10990,27,4.3,OPPO,Deep Blue,3,32,256,15.8,1,13,5,4230,MediaTek Helio P35 Processor
16,16,OPPO A12 ,7990,10990,27,4.3,OPPO,Blue,3,32,256,15.8,1,13,5,4230,MediaTek Helio P35 Processor
17,17,OPPO A12 ,7990,10990,27,4.3,OPPO,Flowing Silver,3,32,256,15.8,1,13,5,4230,MediaTek Helio P35 Processor
18,18,OPPO A12 ,9990,11990,16,4.4,OPPO,Deep Blue,4,64,256,15.8,1,13,5,4230,MediaTek Helio P35 Processor
19,19,realme Narzo 30A ,9999,10999,9,4.4,realme,Laser Blue,4,64,256,16.54,1,13,8,6000,MediaTek Helio G85 Processor
20,20,realme Narzo 30A ,9999,10999,9,4.4,realme,Laser Black,4,64,256,16.54,1,13,8,6000,MediaTek Helio G85 Processor
21,21,realme Narzo 30A ,8999,9999,10,4.4,realme,Laser Black,3,32,256,16.54,1,13,8,6000,MediaTek Helio G85 Processor
22,22,realme 7 ,15499,20999,26,4.3,realme,Mist Blue,8,128,256,16.51,0,64,16,5000,MediaTek Helio G95 Processor
23,23,realme 7 ,13499,17999,25,4.3,realme,Mist Blue,6,64,256,16.51,0,64,16,5000,MediaTek Helio G95 Processor
24,24,REDMI 9i ,7999,9999,20,4.3,REDMI,Midnight Black,4,64,512,16.59,1,13,5,5000,MediaTek Helio G25 Processor
25,25,REDMI 9i ,7999,9999,20,4.3,REDMI,Sea Blue,4,64,512,16.59,1,13,5,5000,MediaTek Helio G25 Processor
26,26,POCO M3 ,10999,12999,15,4.3,POCO,Cool Blue,6,64,512,16.59,0,48,8,6000,Qualcomm Snapdragon 662 Processor
27,27,REDMI 9i ,7999,9999,20,4.3,REDMI,Nature Green,4,64,512,16.59,1,13,5,5000,MediaTek Helio G25 Processor
28,28,realme C20 ,6799,7999,15,4.5,realme,Cool Blue,2,32,256,16.51,1,8,5,5000,MediaTek Helio G35 Processor
29,29,realme C20 ,6799,7999,15,4.5,realme,Cool Grey,2,32,256,16.51,1,8,5,5000,MediaTek Helio G35 Processor
30,30,POCO M3 ,11999,14999,20,4.3,POCO,Power Black,6,128,512,16.59,0,48,8,6000,Qualcomm Snapdragon 662 Processor
31,31,POCO M3 ,10999,12999,15,4.3,POCO,Yellow,6,64,512,16.59,0,48,8,6000,Qualcomm Snapdragon 662 Processor
32,32,realme C12 ,7999,10999,27,4.4,realme,Power Silver,3,32,256,16.56,1,13,5,6000,Mediatek Helio G35 Processor
33,33,realme C12 ,7999,10999,27,4.4,realme,Power Blue,3,32,256,16.56,1,13,5,6000,Mediatek Helio G35 Processor
34,34,POCO C3 ,7499,9999,25,4.3,POCO,Arctic Blue,3,32,512,16.59,1,13,5,5000,Mediatek Helio G35 Processor
35,35,POCO M3 ,10999,12999,15,4.3,POCO,Power Black,6,64,512,16.59,0,48,8,6000,Qualcomm Snapdragon 662 Processor
36,36,POCO M2 Reloaded ,9499,11999,20,4.5,POCO,Mostly Blue,4,64,512,16.59,0,13,8,5000,MediaTek Helio G80 Processor
37,37,OPPO A12 ,9990,11990,16,4.4,OPPO,Blue,4,64,256,15.8,1,13,5,4230,MediaTek Helio P35 Processor
38,38,realme Narzo 20 ,10499,12999,19,4.3,realme,Glory Silver,4,64,256,16.56,1,48,8,6000,MediaTek Helio G85 Processor
39,39,OPPO A12 ,7990,10990,27,4.3,OPPO,Deep Blue,3,32,256,15.8,1,13,5,4230,MediaTek Helio P35 Processor
40,40,OPPO A12 ,7990,10990,27,4.3,OPPO,Blue,3,32,256,15.8,1,13,5,4230,MediaTek Helio P35 Processor
41,41,OPPO A12 ,7990,10990,27,4.3,OPPO,Flowing Silver,3,32,256,15.8,1,13,5,4230,MediaTek Helio P35 Processor
42,42,OPPO A12 ,9990,11990,16,4.4,OPPO,Deep Blue,4,64,256,15.8,1,13,5,4230,MediaTek Helio P35 Processor
43,43,realme Narzo 30A ,9999,10999,9,4.4,realme,Laser Blue,4,64,256,16.54,1,13,8,6000,MediaTek Helio G85 Processor
44,44,realme Narzo 30A ,9999,10999,9,4.4,realme,Laser Black,4,64,256,16.54,1,13,8,6000,MediaTek Helio G85 Processor
45,45,realme Narzo 30A ,8999,9999,10,4.4,realme,Laser Black,3,32,256,16.54,1,13,8,6000,MediaTek Helio G85 Processor
46,46,realme 7 ,15499,20999,26,4.3,realme,Mist Blue,8,128,256,16.51,0,64,16,5000,MediaTek Helio G95 Processor
47,47,realme 7 ,13499,17999,25,4.3,realme,Mist Blue,6,64,256,16.51,0,64,16,5000,MediaTek Helio G95 Processor
48,48,REDMI 9i ,7999,9999,20,4.3,REDMI,Midnight Black,4,64,512,16.59,1,13,5,5000,MediaTek Helio G25 Processor
49,49,REDMI 9i ,7999,9999,20,4.3,REDMI,Sea Blue,4,64,512,16.59,1,13,5,5000,MediaTek Helio G25 Processor
50,50,POCO M3 ,10999,12999,15,4.3,POCO,Cool Blue,6,64,512,16.59,0,48,8,6000,Qualcomm Snapdragon 662 Processor
51,51,REDMI 9i ,7999,9999,20,4.3,REDMI,Nature Green,4,64,512,16.59,1,13,5,5000,MediaTek Helio G25 Processor
52,52,realme C20 ,6799,7999,15,4.5,realme,Cool Blue,2,32,256,16.51,1,8,5,5000,MediaTek Helio G35 Processor
